"id","bands","brand","country_code","country_name","mcc","mnc","notes","operator","status","type"
1,GSM 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","01",Former Vodafone India,Haryana,Operational,National
2,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","02",,Punjab,Operational,National
3,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","03",,Himachal Pradesh,Operational,National
4,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","05","Former Hutch, Fascel, Vodafone India",Gujarat,Operational,National
6,GSM 900 / GSM 1800 / LTE 850 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","10",,Delhi & NCR,Operational,National
7,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","11",Former Vodafone India,Delhi & NCR,Operational,National
8,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","14","Former Spice, IDEA",Punjab,Operational,National
9,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","15",Former Vodafone India,Uttar Pradesh (East),Operational,National
10,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","16",Former Hexacom,North East,Operational,National
11,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","20","Former Hutchison Maxtouch, Orange, Hutch, Vodafone India",Mumbai,Operational,National
12,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500,Vi India,IN,India,"404","22",Former IDEA,Maharashtra & Goa,Operational,National
13,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","30","Former Vodafone India, Command, Hutch",Kolkata,Operational,National
14,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / TD-LTE 2300,Airtel,IN,India,"404","31",,Kolkata,Operational,National
15,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","34",Former CellOne,Haryana,Operational,National
17,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","38",Former CellOne,Assam,Operational,National
18,GSM 1800 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","40",,Chennai,Operational,National
19,GSM 900 / UMTS 2100 / LTE 1800 / LTE 2100,Vi India,IN,India,"404","43",Former Vodafone India,Tamil Nadu,Operational,National
20,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","45",,Karnataka,Operational,National
21,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE-2300 / TD-LTE 2500,Vi India,IN,India,"404","46",Former Vodafone India,Kerala,Operational,National
22,GSM 900 / GSM 1800 / LTE 850 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Airtel,IN,India,"404","49",,Andhra Pradesh and Telangana,Operational,National
24,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","51",Former CellOne,Himachal Pradesh,Operational,National
25,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","53",Former CellOne,Punjab,Operational,National
26,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","54",Former CellOne,Uttar Pradesh (West),Operational,National
27,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","55",Former CellOne,Uttar Pradesh (East),Operational,National
28,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","56",Former IDEA,Uttar Pradesh (West),Operational,National
29,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","57",Former CellOne,Gujarat,Operational,National
30,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","58",Former CellOne,Madhya Pradesh & Chhattisgarh,Operational,National
31,CDMA 850 / GSM 900 / UMTS 2100,BSNL Mobile,IN,India,"404","59",Former CellOne,Rajasthan,Operational,National
32,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500,Vi India,IN,India,"404","60",Former Vodafone India,Rajasthan,Operational,National
33,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","62",Former CellOne,Jammu & Kashmir,Operational,National
34,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","64",Former CellOne,Chennai,Operational,National
35,GSM 900 / UMTS 2100 / LTE 2100,BSNL Mobile,IN,India,"404","66",Former CellOne,Maharashtra & Goa,Operational,National
