"id","details","operator","operator_circle","price","validity","categories"
25,Talktime: Rs.7.47,Airtel,andra-pradesh-telangana,"10",N.A.,Talktime
26,Enjoy ISD calling at discounted rates for 28 days,Airtel,andra-pradesh-telangana,"18","28 days",Talktime
27,Data: 1GB | Validity: 1 Day,Airtel,andra-pradesh-telangana,"19","1 days",Data
28,Talktime: Rs.14.95,Airtel,andra-pradesh-telangana,"20",N.A.,Talktime
29,Data : 2 GB | Validity : 1 Day (till midnight) Only for customers with active validity,Airtel,andra-pradesh-telangana,"29","1 days",Data
30,Data : 6 GB | Validity : 1 Day (till midnight),Airtel,andra-pradesh-telangana,"49","1 days",Data
31,"3 GB Data | Validity:Same as your existing pack|Pack Applicable for Active Bundle and Smart Pack Users",Airtel,andra-pradesh-telangana,"58",N.A.,Data
32,"4 GB Data | Validity same as your existing bundle /smart pack",Airtel,andra-pradesh-telangana,"65",N.A.,Data
33,Data : 5 GB |Validity : Same as your existing pack|Wynk Premium subscription for 30days ; Wynk Music Premium : Music | Hellotunes | Podcasts | LIVE Concerts|Pack Applicable for Active Bundle and Smart Pack Users,Airtel,andra-pradesh-telangana,"98",N.A.,"Data,Entertainment"
34,"Data: Unlimited data,Validity: 1 Day",Airtel,andra-pradesh-telangana,"99","1 days",Data
35,Talktime: Rs.81.75,Airtel,andra-pradesh-telangana,"100",N.A.,Talktime
36,"12 GB Data |Validity : Same as your existing pack| Pack Applicable for Active Bundle and Smart Pack Users",Airtel,andra-pradesh-telangana,"118",N.A.,Data
37,"Xstream Mobile Data Pack : 15GB Data | Additional Benefits: Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 28 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV|Validity : Same as your existing pack| Pack Applicable for Active Bundle and Smart Pack Users",Airtel,andra-pradesh-telangana,"148",N.A.,"Data,Entertainment"
38,"Data: 1GB|Validity: Same as your existing pack|Details: Pack Applicable for Active Bundle and Smart Pack Users|Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 30 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV",Airtel,andra-pradesh-telangana,"149",N.A.,"Data,Entertainment"
39,"Calls : Unlimited local, STD & Roaming | Data : 1GB | SMS : 300|Free Hellotunes : Set any song as Hellotune for Free | Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"155","24 days","Combo,Entertainment,Truly_unlimited"
40,"Calls : Unlimited local, STD & Roaming | Data : 2GB | SMS : 300 | Free Hellotunes : Set any song as Hellotune for Free | Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"179","28 days","Combo,Entertainment,Truly_unlimited"
41,Data: 1GB/day| Validity: 30 days,Airtel,andra-pradesh-telangana,"181","30 days",Data
42,"Calls : Unlimited local STD & Roaming | Data : 3GB | SMS : 300 | Talktime : Rs 5 | Free Hellotunes : Set any song as Hellotune for Free| Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"199","30 days","Combo,Entertainment,Truly_unlimited"
43,"Calls : Unlimited Local, STD & Roaming | Data : 1GB/day | SMS : 100 SMS/day | Free Hellotunes : Set any song as Hellotune for Free | Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"209","21 days","Combo,Entertainment,Truly_unlimited"
44,"Calls : Unlimited | Data : 1GB/day | SMS : 100/day | Validity : 24 days | Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only |Free Hellotunes : Set any song as Hellotune for Free ; Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"239","24 days","Combo,Entertainment,Truly_unlimited"
45,"Calls : Unlimited local STD & Roaming | Data : 1GB/Day | SMS : 100/Day |Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only |Free Hellotunes : Set any song as Hellotune for Free | Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"265","28 days","Combo,Entertainment,Truly_unlimited"
46,"Calls : Unlimited local, STD & Roaming | Data : 4GB | SMS : 300 |Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"289","35 days","Combo,Entertainment,Truly_unlimited"
47,"Calls : Unlimited local STD & Roaming | Data : 25GB | SMS : 100 SMS/day |Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"296","30 days","Combo,Entertainment,Truly_unlimited"
48,"Calls : Unlimited | Data : 1.5GB/Day | SMS : 100/day | Validity : 28 days|Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"299","28 days","Combo,Entertainment,Truly_unlimited"
49,Data : 50GB |Validity:Same as your existing Pack | Wynk Premium subscription for 1Year ; Wynk Music Premium : Music | Hellotunes | Podcasts | LIVE Concerts,Airtel,andra-pradesh-telangana,"301",N.A.,"Combo,Entertainment,Truly_unlimited"
50,"Calls : Unlimited local STD & Roaming | Data : 2GB/day | SMS : 100 SMS/day | Validity : 1 Month |UNLIMITED 5G data (over & above plan limit), claim on Airtel Thanks App,Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only| Apollo 24|7 Circle : 3 Months, at No Cost |Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"319","32 days","Combo,Entertainment,Truly_unlimited"
51,"Calls : Unlimited local STD & Roaming | Data : 2GB/Day | SMS : 100/Day|Talktime : Rs 5|Validity : 1 Month|Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 28 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"359","32 days","Combo,Entertainment,Truly_unlimited"
52,"Calls : Unlimited local STD & Roaming | Data : 3GB/Day | SMS : 100/Day |Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 28 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free ; Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"399","28 days","Combo,Entertainment,Truly_unlimited"
53,"Calls : Unlimited local, STD & Roaming | Data : 6GB | SMS : 900 |Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"455","84 days","Combo,Entertainment,Truly_unlimited"
54,"Calls : Unlimited local STD & Roaming | Data : 1.5GB/Day | SMS : 100/Day | : UNLIMITED 5G data (over & above plan limit), claim on Airtel Thanks App | ; Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : 3 Months, at No Cost|Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"479","56 days","Combo,Entertainment,Truly_unlimited"
55,"Data: 50GB|Calls: Unlimited local STD & Roaming|SMS: 300SMS|Additional Benefits: Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only | Apollo 24|7 CircleApollo3 Months, at No Cost |Hello TunesSet any song as Hellotune for Free|Wynk Music FreeWynkMusic, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"489","30 days","Combo,Entertainment,Truly_unlimited"
56,"Calls : Unlimited local STD & Roaming | Data : 3GB/Day | SMS : 100/Day|Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only| Disney+ Hotstar Mobile for 3 months : Subscription worth Rs 149 | Watch Live Sports, Movies, Exclusive Hotstar Specials & more|Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 28 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"499","28 days","Combo,Entertainment,Truly_unlimited"
57,Talktime: Rs.423.73,Airtel,andra-pradesh-telangana,"500",N.A.,Talktime
58,"Data: 60GB|Calls: Unlimited local STD & Roaming|Validity: 1 month|SMS: 300 SMS| Additional Benefits: Unlimited 5G Data :Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : Apollo 3 Months, at No Cost|Hello TunesSet any song as Hellotune for Free|Wynk Music FreeWynkMusic, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"509","32 days","Combo,Entertainment,Truly_unlimited"
59,"Calls : Unlimited local STD & Roaming calls on any network in India | Data : 1.5GB/day | SMS : 100 per day |UNLIMITED 5G data (over & above plan limit), claim on Airtel Thanks App | ; Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"519","60 days","Combo,Entertainment,Truly_unlimited"
60,"Calls : Unlimited Local STD & Roaming | Data : 2GB/Day | SMS : 100/Day |Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"549","56 days","Combo,Entertainment,Truly_unlimited"
61,"International Roaming:500 MB Data, 100mins IC+OG (India + Local), 10 SMS (covers-US, Europe, Gulf & | more - Set1) 250 MB Data, 50mins IC+OG (India + Local), 5 SMS (covers-Africa, maldives & | more - Set2) | More covered countries: visit www.Airtel.in/IR",Airtel,andra-pradesh-telangana,"649","1 days",International_roaming
62,"Calls : Unlimited | Data : 1.5GB/day | SMS : 100/day |Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only| Apollo 24|7 Circle : 3 Months, at No Cost ; Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"666","77 days","Combo,Entertainment,Truly_unlimited"
63,"Calls : Unlimited local STD & Roaming | Data : 3GB/Day | SMS : 100/Day |Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Amazon Prime Membership : Enjoy Amazon Prime for 56 days included with your plan |Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 56 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"699","56 days","Combo,Entertainment,Truly_unlimited"
64,"Calls : Truly unlimited Local STD & Roaming calls | Data : 1.5GB/day | SMS : 100 per day |UNLIMITED 5G data (over & above plan limit), claim on Airtel Thanks App | ; Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|RewardsMini Subscription : Save more with Airtel Payments Bank ; Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free ; Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"719","84 days","Combo,Entertainment,Truly_unlimited"
65,"International Roaming Pack :1 GB Data (covers-US, Europe, Gulf & | more - Set1) 500 MB Data (covers-Africa, Maldives & | more - Set2) | More covered countries: visit www.Airtel.in/IR",Airtel,andra-pradesh-telangana,"755","5 days",International_roaming
66,"International Roaming : 100mins IC+OG (India + Local) - (covers-US, Europe, Gulf & | more - Set1) 50mins IC+OG (India + Local) - (covers-Africa, Maldives & | more - Set2) | More covered countries: visit www.Airtel.in/IR",Airtel,andra-pradesh-telangana,"756","5 days",International_roaming
67,"Calls : Unlimited local STD & Roaming calls on any network in India | Data : 1.5GB/day | SMS : 100 per day | Details : UNLIMITED 5G data (over & above plan limit), claim on Airtel Thanks App | ; Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free|Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"779","90 days","Combo,Entertainment,Truly_unlimited"
68,"Calls : Unlimited local STD & Roaming | Data : 2GB/day | SMS : 100SMS/day | Unlimited 5G Data : Unlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only| Disney+ Hotstar Mobile for 3 months : Subscription worth Rs 149 | Watch Live Sports, Movies, Exclusive Hotstar Specials & more|Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 84 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV| RewardsMini Subscription : Save more with Airtel Payments Bank|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free | Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"839","84 days","Combo,Entertainment,Truly_unlimited"
69,"International Roaming : 1 GB Data, 100mins IC+OG (India + Local), 20 SMS (covers-US, Europe, Gulf & | more - Set1) 500 MB Data, 50mins IC+OG (India + Local), 10 SMS (covers-Africa, Maldives & | more - Set2) | More covered countries: visit www.Airtel.in/IR",Airtel,andra-pradesh-telangana,"899","10 days",International_roaming
70,"Calls : Unlimited Local STD & Roaming calls | Data : 2.5GB/day | SMS : 100 per day |Amazon Prime Membership : Enjoy Amazon Prime for 84 days included with your plan|Airtel Xstream Play (Unlock 15+ OTTs)Enjoy 84 Days FREE access to 15+ OTTs such as Sony LIV, Lionsgate Play, Fancode, Eros Now, hoichoi, ManoramaMAX, and many more on Airtel Xstream Play | Watch smashing hits on your mobile, tablet or TV| Unlimited 5G DataUnlimited 5G Data is over and above your plan limit and can be used in 5G Network areas only|RewardsMini Subscription : Save more with Airtel Payments Bank|Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free ; Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"999","84 days","Combo,Entertainment,Truly_unlimited"
71,Talktime: Rs.847.46,Airtel,andra-pradesh-telangana,"1000",N.A.,Talktime
72,"Calls : Unlimited local, STD & Roaming | Data : 24 GB | SMS : 3600 |Apollo 24|7 Circle : 3 Months, at No Cost|Free Hellotunes : Set any song as Hellotune for Free ; Wynk Music Free : Music, Hellotunes, LIVE Concerts & Podcasts",Airtel,andra-pradesh-telangana,"1799","365 days","Combo,Entertainment,Truly_unlimited,Annual"
73,"International Roaming : 2 GB Data, 100mins IC+OG (India + Local), 20 SMS (covers-US, Europe, Gulf & | more - Set1) 1 GB Data, 50mins IC+OG (India + Local), 10 SMS (covers-Africa, Maldives & | more - Set2) | More covered countries: visit www.Airtel.in/IR",Airtel,andra-pradesh-telangana,"2997","365 days","International_roaming,Annual"
